#radius(kpc) Velocity(km/s)
0.329886847502 0.205160252553
1.05828259999 34.5385554986
1.67252146762 34.5657933691
3.15982134649 36.7897931915
2.66920615111 34.5665047475
4.62437465145 39.2995559808
4.788563951 36.1575650395
6.90909156209 35.461173463
7.05459603844 37.1150176814
8.6358240413 35.7200442241
9.18391684683 34.7270373753
10.1406478186 36.4315344023
11.1544870057 37.5076241592
12.1166264999 34.8496736901
14.3565907497 32.7218208535
14.4317243578 32.9372020855
15.520737765 34.4067598907
16.6180738612 35.9186085534
17.049275442 30.8089069238
18.5735315388 31.8328057887
20.1417661181 30.7343333046
19.7319174268 32.3825778586
22.6194683862 33.7201108257
22.4498893807 29.2908344712
22.7062101749 31.1539142561
24.8027195684 29.8952987491
26.151388894 27.8953762459
26.6210314554 27.9526169352
27.5582187436 29.8995379265
27.9968823043 27.6843494238
29.1403782307 28.6513838941
31.1721632064 31.4628736816
31.2245187976 27.7091785505
32.0854413622 31.7264888799
33.4949499684 27.5035418637
34.8273464909 27.255100149
34.8906595008 22.555914097
36.1816670859 26.3682822396
37.351119499 24.2732258304
38.6663929187 25.689633993
39.3196725944 28.4671731308
40.8882431615 23.3200198324
41.7797242676 24.869894223
42.2863378379 25.4995657486
42.6608445398 26.668237536
43.4768803182 25.4021942008
45.3550326607 25.5592638194
46.5605159794 27.3498660654
47.3420505716 25.442114287
48.1699743021 25.2077623648
49.5037639603 25.1907796675
50.3869137425 25.1064663319
51.1783626269 24.280990061
51.7301461854 26.2069518614
53.0386226459 25.1117615675
54.4503021683 23.2413088335
55.674661874 23.691095713
56.6735690065 22.343759584
57.5709150326 23.0560159511
58.0644487749 21.7737272067
59.1953490084 23.4463956672
60.7237837017 21.8601715455
61.4032552151 21.1280359928
61.7894702645 22.4410292029
64.0954562366 21.9631144932
64.6345663411 22.9627442266
65.1948125163 24.7198338542
67.3457971648 20.8998048891
67.5749723139 22.7242979541
68.7903047173 20.6267222038
69.5562445073 24.0738299204
69.620648289 23.2943252329
